produto_id,nome_produto,categoria,data_venda,quantidade,preco_unitario,total_venda,Venda
P002,Tablet,Eletrônicos,2023-01-04,5,3500,17500.0,
P002,Tablet,Eletrônicos,2023-01-04,3,3500,10500.0,
P003,Tablet,Eletrônicos,2023-01-04,1,1500,1500.0,
P003,Tablet,Eletrônicos,2023-01-04,3,1500,4500.0,2023-00100
P002,Tablet,Eletrônicos,2023-01-04,3,3500,10500.0,
P005,Tablet,Acessórios,2023-01-04,5,100,500.0,
P005,Tablet,Acessórios,2023-01-04,3,100,300.0,
P003,Tablet,Eletrônicos,2023-01-04,3,1500,4500.0,
P005,Tablet,Acessórios,2023-01-04,1,100,100.0,
P001,Tablet,Eletrônicos,2023-01-04,3,2000,6000.0,
P005,Tablet,Acessórios,2023-01-04,5,100,,
P003,Tablet,Eletrônicos,2023-01-04,4,1500,6000.0,
P003,Tablet,Eletrônicos,2023-01-04,-2,1500,3000.0,2023-00109
P005,Tablet,Acessórios,2023-01-04,1,100,100.0,
P002,Tablet,Eletrônicos,2023-01-04,3,3500,10500.0,2023-00111
P002,Tablet,Eletrônicos,2023-01-04,2,3500,,
P005,Tablet,Acessórios,2023-01-05,5,100,500.0,2023-00113
P001,Tablet,Eletrônicos,,5,2000,10000.0,
P004,Tablet,Acessórios,2023-01-05,2,50,,
P004,Tablet,Acessórios,2023-01-05,1,50,50.0,
P005,Tablet,Acessórios,2023-01-05,1,100,100.0,
P003,Tablet,Eletrônicos,2023-01-05,3,1500,4500.0,
P002,Tablet,Eletrônicos,2023-01-05,5,3500,17500.0,
P003,Tablet,Eletrônicos,2023-01-05,2,1500,3000.0,2023-00120
P004,Tablet,Acessórios,2023-01-05,4,50,200.0,
P004,Tablet,Acessórios,2023-01-05,-3,50,150.0,
P004,Tablet,Acessórios,2023-01-05,3,50,150.0,
P005,Tablet,Acessórios,2023-01-05,3,100,300.0,2023-00124
P004,Tablet,Acessórios,,5,50,250.0,
P003,Tablet,Eletrônicos,2023-01-05,2,1500,,
P002,Tablet,Eletrônicos,2023-01-05,5,3500,17500.0,
P005,Tablet,Acessórios,2023-01-05,5,100,500.0,
P005,Tablet,Acessórios,,4,100,400.0,
P005,Tablet,Acessórios,2023-01-05,5,100,500.0,
P002,Tablet,Eletrônicos,2023-01-05,1,3500,3500.0,
P004,Tablet,Acessórios,2023-01-05,5,50,250.0,
P003,Tablet,Eletrônicos,2023-01-05,2,1500,3000.0,
P005,Tablet,Acessórios,2023-01-05,5,100,500.0,
P001,Tablet,Eletrônicos,2023-01-05,4,2000,8000.0,2023-00135
P004,Tablet,Acessórios,2023-01-05,4,50,200.0,
P004,Tablet,Acessórios,2023-01-05,5,50,250.0,
P004,Tablet,Acessórios,2023-01-05,5,50,250.0,
P004,Tablet,Acessórios,2023-01-05,5,50,,2023-00139
P001,Tablet,Eletrônicos,2023-01-05,5,2000,,
P004,Tablet,Acessórios,2023-01-05,1,50,50.0,
P004,Tablet,Acessórios,2023-01-06,2,50,100.0,
P004,Tablet,Acessórios,2023-01-06,3,50,150.0,2023-00143
P001,Tablet,Eletrônicos,2023-01-06,3,2000,6000.0,2023-00144
P005,Tablet,Acessórios,2023-01-06,1,100,100.0,
P001,Tablet,Eletrônicos,2023-01-06,5,2000,10000.0,
P004,Tablet,Acessórios,2023-01-06,5,50,250.0,
P001,Tablet,Eletrônicos,2023-01-06,3,2000,6000.0,
P003,Tablet,Eletrônicos,2023-01-06,2,1500,3000.0,2023-00149
P005,Tablet,Acessórios,2023-01-06,4,100,,
P004,Tablet,Acessórios,2023-01-06,4,50,200.0,
P005,Tablet,Acessórios,2023-01-06,1,100,100.0,2023-00152
P001,Tablet,Eletrônicos,2023-01-06,3,2000,6000.0,2023-00153
P001,Tablet,Eletrônicos,2023-01-06,-2,2000,4000.0,
P005,Tablet,Acessórios,2023-01-06,5,100,500.0,
P003,Tablet,Eletrônicos,2023-01-06,1,1500,,
P005,Tablet,Acessórios,2023-01-06,4,100,400.0,2023-00157
P005,Tablet,Acessórios,,1,100,100.0,
P002,Tablet,Eletrônicos,2023-01-06,3,3500,10500.0,
P002,Tablet,Eletrônicos,2023-01-06,4,3500,14000.0,
P004,Tablet,Acessórios,2023-01-06,1,50,,
P002,Tablet,Eletrônicos,2023-01-06,3,3500,10500.0,
P005,Tablet,Acessórios,2023-01-07,4,100,400.0,
P002,Tablet,Eletrônicos,2023-01-07,2,3500,7000.0,2023-00164
P001,Tablet,Eletrônicos,2023-01-07,3,2000,6000.0,
P005,Tablet,Acessórios,2023-01-07,4,100,400.0,
P001,Tablet,Eletrônicos,,5,2000,10000.0,
P002,Tablet,Eletrônicos,2023-01-07,5,3500,17500.0,
P004,Tablet,Acessórios,2023-01-07,2,50,100.0,
P004,Tablet,Acessórios,2023-01-07,1,50,50.0,
P005,Tablet,Acessórios,2023-01-07,2,100,200.0,
P004,Tablet,Acessórios,2023-01-07,4,50,200.0,
P002,Tablet,Eletrônicos,2023-01-07,1,3500,3500.0,
P002,Tablet,Eletrônicos,2023-01-07,5,3500,17500.0,
P005,Tablet,Acessórios,2023-01-07,3,100,300.0,
P002,Tablet,Eletrônicos,2023-01-07,1,3500,3500.0,2023-00176
P003,Tablet,Eletrônicos,2023-01-07,4,1500,6000.0,
P004,Tablet,Acessórios,2023-01-07,1,50,50.0,2023-00178
P005,Tablet,Acessórios,2023-01-07,2,100,200.0,
P001,Tablet,Eletrônicos,2023-01-07,5,2000,10000.0,
P002,Tablet,Eletrônicos,2023-01-07,1,3500,3500.0,
P001,Tablet,Eletrônicos,2023-01-07,4,2000,8000.0,2023-00182
P002,Tablet,Eletrônicos,,1,3500,3500.0,
P002,Tablet,Eletrônicos,2023-01-07,5,3500,,
P002,Tablet,Eletrônicos,2023-01-07,5,3500,17500.0,
P003,Tablet,Eletrônicos,2023-01-07,4,1500,6000.0,2023-00186
P001,Tablet,Eletrônicos,2023-01-07,-1,2000,2000.0,
P003,Tablet,Eletrônicos,2023-01-07,5,1500,7500.0,
P003,Tablet,Eletrônicos,2023-01-07,1,1500,1500.0,
P003,Tablet,Eletrônicos,2023-01-07,4,1500,6000.0,2023-00190
P001,Tablet,Eletrônicos,2023-01-07,2,2000,4000.0,
P003,Tablet,Eletrônicos,,4,1500,6000.0,
P002,Tablet,Eletrônicos,2023-01-07,1,3500,3500.0,
P005,Tablet,Acessórios,2023-01-08,3,100,,
P001,Tablet,Eletrônicos,2023-01-08,5,2000,10000.0,
P002,Tablet,Eletrônicos,2023-01-08,3,3500,10500.0,
P004,Tablet,Acessórios,2023-01-08,4,50,200.0,
P003,Tablet,Eletrônicos,2023-01-08,3,1500,4500.0,2023-00198
P001,Tablet,Eletrônicos,2023-01-08,1,2000,2000.0,
P003,Tablet,Eletrônicos,,2,1500,,
P003,Tablet,Eletrônicos,2023-01-08,1,1500,1500.0,2023-00201
P002,Tablet,Eletrônicos,2023-01-08,5,3500,17500.0,
P003,Tablet,Eletrônicos,2023-01-08,3,1500,4500.0,2023-00203
P005,Tablet,Acessórios,2023-01-08,3,100,300.0,2023-00204
P003,Tablet,Eletrônicos,2023-01-08,4,1500,6000.0,
P002,Tablet,Eletrônicos,2023-01-08,2,3500,7000.0,
P002,Tablet,Eletrônicos,2023-01-08,2,3500,7000.0,
P002,Tablet,Eletrônicos,2023-01-08,5,3500,17500.0,2023-00208
P004,Tablet,Acessórios,2023-01-08,2,50,100.0,
P002,Tablet,Eletrônicos,,1,3500,3500.0,
P002,Tablet,Eletrônicos,2023-01-08,1,3500,3500.0,
P001,Tablet,Eletrônicos,2023-01-08,1,2000,2000.0,
P005,Tablet,Acessórios,2023-01-08,4,100,400.0,2023-00213
P002,Tablet,Eletrônicos,2023-01-08,2,3500,7000.0,
P005,Tablet,Acessórios,2023-01-08,2,100,200.0,
P004,Tablet,Acessórios,2023-01-08,1,50,50.0,
P002,Tablet,Eletrônicos,2023-01-08,3,3500,10500.0,2023-00217
P002,Tablet,Eletrônicos,2023-01-08,3,3500,,
P001,Tablet,Eletrônicos,2023-01-08,-4,2000,8000.0,
P005,Tablet,Acessórios,2023-01-08,2,100,200.0,
P005,Tablet,Acessórios,2023-01-08,4,100,400.0,
P003,Tablet,Eletrônicos,2023-01-08,2,1500,3000.0,
P005,Tablet,Acessórios,2023-01-08,4,100,400.0,
P002,Tablet,Eletrônicos,2023-01-08,4,3500,14000.0,
P005,Tablet,Acessórios,2023-01-08,5,100,500.0,2023-00225
P001,Tablet,Eletrônicos,2023-01-08,-2,2000,4000.0,
P002,Tablet,Eletrônicos,2023-01-08,1,3500,3500.0,
P005,Tablet,Acessórios,2023-01-08,3,100,300.0,
P001,Tablet,Eletrônicos,2023-01-08,1,2000,2000.0,
P004,Tablet,Acessórios,2023-01-08,5,50,250.0,
P002,Tablet,Eletrônicos,2023-01-08,5,3500,17500.0,2023-00231
P001,Tablet,Eletrônicos,,5,2000,10000.0,
P002,Tablet,Eletrônicos,2023-01-09,1,3500,3500.0,
P002,Tablet,Eletrônicos,2023-01-09,5,3500,17500.0,2023-00234
P005,Tablet,Acessórios,2023-01-09,3,100,300.0,
P004,Tablet,Acessórios,2023-01-09,2,50,100.0,
P003,Tablet,Eletrônicos,,2,1500,3000.0,
P001,Tablet,Eletrônicos,2023-01-09,2,2000,4000.0,
P001,Tablet,Eletrônicos,2023-01-09,-2,2000,4000.0,2023-00239
P004,Tablet,Acessórios,2023-01-09,5,50,250.0,2023-00240
P002,Tablet,Eletrônicos,,5,3500,17500.0,
P002,Tablet,Eletrônicos,2023-01-09,4,3500,14000.0,
P003,Tablet,Eletrônicos,2023-01-09,4,1500,6000.0,
P001,Tablet,Eletrônicos,2023-01-09,4,2000,8000.0,
P001,Tablet,Eletrônicos,2023-01-09,4,2000,8000.0,2023-00245
P003,Tablet,Eletrônicos,2023-01-09,4,1500,6000.0,
P005,Tablet,Acessórios,2023-01-09,3,100,300.0,
P001,Tablet,Eletrônicos,,1,2000,2000.0,
P001,Tablet,Eletrônicos,2023-01-09,1,2000,2000.0,
P005,Tablet,Acessórios,2023-01-09,1,100,100.0,
P005,Tablet,Acessórios,2023-01-09,4,100,400.0,
P004,Tablet,Acessórios,2023-01-09,3,50,150.0,
P001,Tablet,Eletrônicos,2023-01-09,3,2000,6000.0,2023-00253
P005,Tablet,Acessórios,2023-01-09,1,100,,2023-00254
P005,Tablet,Acessórios,2023-01-09,1,100,100.0,2023-00255
P001,Tablet,Eletrônicos,2023-01-09,2,2000,,
P002,Tablet,Eletrônicos,2023-01-10,4,3500,,
P003,Tablet,Eletrônicos,2023-01-10,3,1500,4500.0,
P001,Tablet,Eletrônicos,2023-01-10,1,2000,2000.0,
P002,Tablet,Eletrônicos,2023-01-10,2,3500,7000.0,
P002,Tablet,Eletrônicos,,1,3500,3500.0,
P002,Tablet,Eletrônicos,2023-01-10,2,3500,,2023-00262
P002,Tablet,Eletrônicos,2023-01-10,-3,3500,10500.0,2023-00263
P001,Tablet,Eletrônicos,2023-01-10,2,2000,4000.0,2023-00264
P005,Tablet,Acessórios,2023-01-10,2,100,200.0,
P001,Tablet,Eletrônicos,2023-01-10,3,2000,6000.0,
P002,Tablet,Eletrônicos,2023-01-10,3,3500,,2023-00267
P003,Tablet,Eletrônicos,2023-01-10,1,1500,1500.0,
P003,Tablet,Eletrônicos,2023-01-10,5,1500,7500.0,
P003,Tablet,Eletrônicos,2023-01-10,5,1500,7500.0,
P003,Tablet,Eletrônicos,2023-01-10,1,1500,1500.0,
P005,Tablet,Acessórios,2023-01-10,1,100,100.0,2023-00272
P002,Tablet,Eletrônicos,2023-01-10,2,3500,7000.0,2023-00273
P005,Tablet,Acessórios,2023-01-10,1,100,100.0,
P004,Tablet,Acessórios,2023-01-10,4,50,200.0,
P001,Tablet,Eletrônicos,2023-01-10,1,2000,2000.0,
P003,Tablet,Eletrônicos,2023-01-10,4,1500,6000.0,
P005,Tablet,Acessórios,2023-01-10,5,100,500.0,2023-00278
P004,Tablet,Acessórios,2023-01-10,1,50,50.0,
P003,Tablet,Eletrônicos,2023-01-10,5,1500,7500.0,
P003,Tablet,Eletrônicos,2023-01-10,4,1500,6000.0,2023-00281
P001,Tablet,Eletrônicos,2023-01-10,3,2000,6000.0,
P003,Tablet,Eletrônicos,,3,1500,4500.0,
P002,Tablet,Eletrônicos,2023-01-10,3,3500,10500.0,
P002,Tablet,Eletrônicos,2023-01-10,5,3500,17500.0,2023-00285
P004,Tablet,Acessórios,2023-01-10,2,50,100.0,2023-00286
P001,Tablet,Eletrônicos,,2,2000,4000.0,
P002,Tablet,Eletrônicos,2023-01-10,3,3500,10500.0,
P002,Tablet,Eletrônicos,2023-01-10,3,3500,10500.0,
P003,Tablet,Eletrônicos,2023-01-11,5,1500,7500.0,
P003,Tablet,Eletrônicos,2023-01-11,3,1500,4500.0,
P001,Tablet,Eletrônicos,2023-01-11,-3,2000,6000.0,
P002,Tablet,Eletrônicos,2023-01-11,3,3500,10500.0,2023-00293
P002,Tablet,Eletrônicos,2023-01-11,5,3500,17500.0,
P005,Tablet,Acessórios,2023-01-11,4,100,400.0,
P002,Tablet,Eletrônicos,2023-01-11,1,3500,3500.0,2023-00296
P005,Tablet,Acessórios,2023-01-11,3,100,300.0,2023-00297
P004,Tablet,Acessórios,2023-01-11,2,50,100.0,
P002,Tablet,Eletrônicos,2023-01-11,2,3500,7000.0,2023-00299
P001,Tablet,Eletrônicos,2023-01-11,2,2000,4000.0,
P002,Tablet,Eletrônicos,,3,3500,10500.0,2023-00301
P004,Tablet,Acessórios,2023-01-11,2,50,100.0,
P001,Tablet,Eletrônicos,2023-01-11,5,2000,10000.0,
P001,Tablet,Eletrônicos,2023-01-11,2,2000,4000.0,2023-00304
P001,Tablet,Eletrônicos,2023-01-11,2,2000,4000.0,2023-00305
P003,Tablet,Eletrônicos,2023-01-11,5,1500,7500.0,
P004,Tablet,Acessórios,,4,50,200.0,2023-00307
P005,Tablet,Acessórios,,2,100,200.0,
P005,Tablet,Acessórios,2023-01-11,3,100,300.0,
P005,Tablet,Acessórios,2023-01-11,5,100,,2023-00310
P004,Tablet,Acessórios,2023-01-11,4,50,200.0,
P003,Tablet,Eletrônicos,2023-01-11,4,1500,6000.0,
P005,Tablet,Acessórios,2023-01-11,4,100,400.0,
P002,Tablet,Eletrônicos,2023-01-11,1,3500,3500.0,
P001,Tablet,Eletrônicos,2023-01-11,5,2000,10000.0,
P002,Tablet,Eletrônicos,2023-01-11,3,3500,10500.0,
P001,Tablet,Eletrônicos,2023-01-11,5,2000,10000.0,
P003,Tablet,Eletrônicos,2023-01-11,-5,1500,7500.0,
P003,Tablet,Eletrônicos,2023-01-11,3,1500,4500.0,
P003,Tablet,Eletrônicos,2023-01-12,-2,1500,3000.0,
P004,Tablet,Acessórios,2023-01-12,4,50,200.0,
P005,Tablet,Acessórios,2023-01-12,3,100,300.0,
P002,Tablet,Eletrônicos,2023-01-12,2,3500,7000.0,
P001,Tablet,Eletrônicos,2023-01-12,5,2000,10000.0,2023-00324
P001,Tablet,Eletrônicos,2023-01-12,4,2000,8000.0,2023-00325
P005,Tablet,Acessórios,2023-01-12,3,100,300.0,2023-00326
P005,Tablet,Acessórios,2023-01-12,2,100,200.0,
P001,Tablet,Eletrônicos,2023-01-12,1,2000,2000.0,
P005,Tablet,Acessórios,2023-01-12,3,100,300.0,
P001,Tablet,Eletrônicos,2023-01-12,1,2000,2000.0,
P005,Tablet,Acessórios,2023-01-12,2,100,200.0,2023-00331
P005,Tablet,Acessórios,2023-01-12,5,100,500.0,
P001,Tablet,Eletrônicos,,2,2000,4000.0,
P004,Tablet,Acessórios,2023-01-12,5,50,,
P002,Tablet,Eletrônicos,2023-01-12,3,3500,10500.0,2023-00335
P004,Tablet,Acessórios,2023-01-12,3,50,150.0,
P002,Tablet,Eletrônicos,2023-01-12,2,3500,7000.0,2023-00337
P002,Tablet,Eletrônicos,2023-01-12,3,3500,10500.0,
P001,Tablet,Eletrônicos,2023-01-12,1,2000,2000.0,
P001,Tablet,Eletrônicos,2023-01-12,3,2000,6000.0,
P004,Tablet,Acessórios,2023-01-13,3,50,150.0,
P002,Tablet,Eletrônicos,2023-01-13,2,3500,7000.0,
P005,Tablet,Acessórios,2023-01-13,3,100,300.0,
P004,Tablet,Acessórios,2023-01-13,5,50,250.0,2023-00344
P005,Tablet,Acessórios,2023-01-13,4,100,400.0,
P004,Tablet,Acessórios,2023-01-13,1,50,50.0,
P005,Tablet,Acessórios,,2,100,200.0,
P002,Tablet,Eletrônicos,2023-01-13,4,3500,14000.0,
P001,Tablet,Eletrônicos,2023-01-13,2,2000,4000.0,
P003,Tablet,Eletrônicos,2023-01-13,4,1500,6000.0,2023-00350
P001,Tablet,Eletrônicos,2023-01-13,2,2000,4000.0,
P005,Tablet,Acessórios,,2,100,200.0,2023-00352
P003,Tablet,Eletrônicos,2023-01-13,5,1500,7500.0,
P001,Tablet,Eletrônicos,2023-01-13,3,2000,6000.0,2023-00354
P001,Tablet,Eletrônicos,2023-01-13,5,2000,10000.0,
P004,Tablet,Acessórios,2023-01-13,1,50,50.0,
P005,Tablet,Acessórios,2023-01-13,2,100,200.0,
P003,Tablet,Eletrônicos,2023-01-13,2,1500,3000.0,
P005,Tablet,Acessórios,2023-01-13,4,100,400.0,
P001,Tablet,Eletrônicos,2023-01-13,1,2000,2000.0,
P003,Tablet,Eletrônicos,2023-01-13,2,1500,,
P002,Tablet,Eletrônicos,2023-01-13,2,3500,7000.0,
P003,Tablet,Eletrônicos,2023-01-13,1,1500,1500.0,
P005,Tablet,Acessórios,2023-01-13,3,100,300.0,
P002,Tablet,Eletrônicos,2023-01-14,2,3500,7000.0,2023-00365
P002,Tablet,Eletrônicos,,4,3500,14000.0,2023-00366
P003,Tablet,Eletrônicos,2023-01-14,1,1500,1500.0,
P002,Tablet,Eletrônicos,2023-01-14,4,3500,14000.0,
P004,Tablet,Acessórios,2023-01-14,3,50,150.0,
P004,Tablet,Acessórios,2023-01-14,-2,50,100.0,2023-00370
P003,Tablet,Eletrônicos,2023-01-14,5,1500,7500.0,
P002,Tablet,Eletrônicos,2023-01-14,1,3500,3500.0,
P003,Tablet,Eletrônicos,,3,1500,4500.0,
P003,Tablet,Eletrônicos,2023-01-14,5,1500,7500.0,
P001,Tablet,Eletrônicos,2023-01-14,3,2000,6000.0,
P001,Tablet,Eletrônicos,2023-01-14,4,2000,8000.0,2023-00376
P005,Tablet,Acessórios,2023-01-14,-5,100,500.0,2023-00377
P005,Tablet,Acessórios,2023-01-14,4,100,400.0,
P002,Tablet,Eletrônicos,2023-01-14,2,3500,7000.0,
P002,Tablet,Eletrônicos,2023-01-14,5,3500,17500.0,
P004,Tablet,Acessórios,2023-01-14,5,50,250.0,
P001,Tablet,Eletrônicos,2023-01-14,5,2000,10000.0,
P003,Tablet,Eletrônicos,2023-01-14,1,1500,1500.0,
P004,Tablet,Acessórios,2023-01-14,5,50,250.0,
P004,Tablet,Acessórios,2023-01-14,1,50,50.0,
P005,Tablet,Acessórios,2023-01-14,2,100,200.0,
P005,Tablet,Acessórios,2023-01-14,5,100,500.0,
P001,Tablet,Eletrônicos,2023-01-14,3,2000,6000.0,2023-00388
P003,Tablet,Eletrônicos,2023-01-14,4,1500,6000.0,
P001,Tablet,Eletrônicos,2023-01-14,5,2000,10000.0,2023-00390
P005,Tablet,Acessórios,2023-01-14,2,100,200.0,
P001,Tablet,Eletrônicos,2023-01-14,2,2000,4000.0,
P001,Tablet,Eletrônicos,2023-01-15,-5,2000,10000.0,
P002,Tablet,Eletrônicos,2023-01-15,1,3500,3500.0,
P005,Tablet,Acessórios,2023-01-15,1,100,100.0,2023-00395
P001,Tablet,Eletrônicos,2023-01-15,2,2000,4000.0,2023-00396
P002,Tablet,Eletrônicos,2023-01-15,3,3500,10500.0,
P002,Tablet,Eletrônicos,2023-01-15,1,3500,3500.0,
P004,Tablet,Acessórios,2023-01-15,2,50,100.0,
P001,Tablet,Eletrônicos,,5,2000,10000.0,
P001,Tablet,Eletrônicos,2023-01-15,2,2000,4000.0,2023-00401
P001,Tablet,Eletrônicos,2023-01-15,1,2000,,2023-00402
P003,Tablet,Eletrônicos,2023-01-15,2,1500,3000.0,
P001,Tablet,Eletrônicos,2023-01-15,-1,2000,2000.0,
P002,Tablet,Eletrônicos,2023-01-15,1,3500,3500.0,
P003,Tablet,Eletrônicos,2023-01-15,4,1500,6000.0,
P005,Tablet,Acessórios,2023-01-15,5,100,500.0,2023-00407
P002,Tablet,Eletrônicos,2023-01-15,3,3500,10500.0,
P004,Tablet,Acessórios,2023-01-15,3,50,150.0,
P003,Tablet,Eletrônicos,2023-01-15,3,1500,4500.0,
P003,Tablet,Eletrônicos,2023-01-15,5,1500,7500.0,
P004,Tablet,Acessórios,2023-01-15,4,50,200.0,
P001,Tablet,Eletrônicos,2023-01-16,-3,2000,,2023-00413
P002,Tablet,Eletrônicos,2023-01-16,3,3500,10500.0,2023-00414
P004,Tablet,Acessórios,2023-01-16,4,50,200.0,
P004,Tablet,Acessórios,2023-01-16,2,50,100.0,2023-00416
P001,Tablet,Eletrônicos,2023-01-16,1,2000,2000.0,2023-00417
P001,Tablet,Eletrônicos,2023-01-16,2,2000,,
P003,Tablet,Eletrônicos,2023-01-16,2,1500,3000.0,
P002,Tablet,Eletrônicos,2023-01-16,4,3500,14000.0,
P005,Tablet,Acessórios,2023-01-16,1,100,100.0,2023-00421
